Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
2.600,21.434,0.120,0.231,251.115,998.002,-2.010,4.53,4.53,72.74,70.82,6.248,8.15,6.261,6.262,
2.700,21.433,0.120,0.231,250.870,998.003,-2.009,4.52,4.52,72.37,77.80,6.864,8.16,6.879,6.879,
2.800,21.434,0.120,0.231,250.578,998.003,-2.010,4.51,4.51,72.57,69.15,6.101,8.14,6.114,6.114,
2.900,21.434,0.120,0.231,250.417,998.003,-2.010,4.50,4.50,72.19,62.61,5.524,8.15,5.536,5.536,
3.000,21.433,0.120,0.231,250.977,998.004,-2.009,4.50,4.50,72.26,66.00,5.823,8.16,5.835,5.836,
3.100,21.432,0.121,0.232,252.065,998.005,-2.009,4.52,4.52,72.27,70.75,6.242,8.16,6.256,6.256,
3.200,21.432,0.121,0.233,252.484,998.006,-2.009,4.53,4.53,72.46,67.35,5.942,8.16,5.955,5.955,
3.300,21.431,0.121,0.233,252.525,998.006,-2.008,4.54,4.54,73.12,70.89,6.254,8.16,6.268,6.268,
3.400,21.434,0.121,0.232,252.225,998.006,-2.009,4.54,4.54,73.33,72.12,6.363,8.16,6.377,6.377,
3.500,21.434,0.121,0.233,253.173,998.007,-2.009,4.53,4.53,73.26,66.90,5.902,8.16,5.915,5.915,
3.600,21.439,0.121,0.234,253.707,998.006,-2.010,4.51,4.51,72.46,73.27,6.464,8.15,6.478,6.478,
3.700,21.438,0.122,0.235,255.479,998.008,-2.009,4.49,4.49,72.04,74.93,6.610,8.15,6.624,6.625,
